time	treatment	percent_survived
1	control	1
1	control	1
1	control	1
1	Tetracycline	1
1	Tetracycline	1
1	Tetracycline	1
2	control	1
2	control	1
2	control	1
2	Tetracycline	1
2	Tetracycline	1
2	Tetracycline	1
3	control	1
3	control	1
3	control	1
3	Tetracycline	1
3	Tetracycline	1
3	Tetracycline	1
4	control	0.961538462
4	control	0.961538462
4	control	0.961538462
4	Tetracycline	1
4	Tetracycline	1
4	Tetracycline	0.88
5	control	0.884615385
5	control	0.807692308
5	control	0.884615385
5	Tetracycline	0.916666667
5	Tetracycline	0.923076923
5	Tetracycline	0.8
6	control	0.769230769
6	control	0.807692308
6	control	0.807692308
6	Tetracycline	0.708333333
6	Tetracycline	0.769230769
6	Tetracycline	0.6
7	control	0.692307692
7	control	0.769230769
7	control	0.730769231
7	Tetracycline	0.416666667
7	Tetracycline	0.653846154
7	Tetracycline	0.44
8	control	0.576923077
8	control	0.730769231
8	control	0.692307692
8	Tetracycline	0.208333333
8	Tetracycline	0.576923077
8	Tetracycline	0.28
9	control	0.538461538
9	control	0.615384615
9	control	0.615384615
9	Tetracycline	0.208333333
9	Tetracycline	0.461538462
9	Tetracycline	0.24
10	control	0.461538462
10	control	0.538461538
10	control	0.461538462
10	Tetracycline	0.208333333
10	Tetracycline	0.192307692
10	Tetracycline	0.12
