SampleID	sample	treatment	treatment2	treatment3	sample_type	cage	treatment_cage	date	cycle	treatment_cycle	treatment_cycle2	treatment_cycle3
X10.3.C1	Control_C1	Control_transfer	Control	Control	microbiome_transfer	cage_1	Control_transfer_cage_1	10_3	cycle_one	Control_cycle_1	Control_transfer_to_cycle_2	Control_cycle_1
X10.3.C2	Control_C2	Control_transfer	Control	Control	microbiome_transfer	cage_2	Control_transfer_cage_2	10_3	cycle_one	Control_cycle_1	Control_transfer_to_cycle_2	Control_cycle_1
X10.3.C3	Control_C3	Control_transfer	Control	Control	microbiome_transfer	cage_3	Control_transfer_cage_3	10_3	cycle_one	Control_cycle_1	Control_transfer_to_cycle_2	Control_cycle_1
X10.3.T1	Tetra_C1	Tetracycline_transfer	Tetracycline	Tetracycline	microbiome_transfer	cage_1	Tetracycline_transfer_cage_1	10_3	cycle_one	Tetracycline_cycle_1	Tetracycline_transfer_to_cycle_2	Tetracycline_cycle_1
X10.3.T2	Tetra_C2	Tetracycline_transfer	Tetracycline	Tetracycline	microbiome_transfer	cage_2	Tetracycline_transfer_cage_2	10_3	cycle_one	Tetracycline_cycle_1	Tetracycline_transfer_to_cycle_2	Tetracycline_cycle_1
X10.3.T3	Tetra_C3	Tetracycline_transfer	Tetracycline	Tetracycline	microbiome_transfer	cage_3	Tetracycline_transfer_cage_3	10_3	cycle_one	Tetracycline_cycle_1	Tetracycline_transfer_to_cycle_2	Tetracycline_cycle_1
X10.C1.1	Control_C1.1	Control	Control	Control	single_bee	cage_1	Control_cage_1	10_3	cycle_one	Control_cycle_1	Control_cycle_2	Control_cycle_1
X10.C1.2	Control_C1.2	Control	Control	Control	single_bee	cage_1	Control_cage_1	10_3	cycle_one	Control_cycle_1	Control_cycle_2	Control_cycle_1
X10.C1.6	Control_C1.6	Control	Control	Control	single_bee	cage_1	Control_cage_1	10_3	cycle_one	Control_cycle_1	Control_cycle_2	Control_cycle_1
X10.C2.1	Control_C2.1	Control	Control	Control	single_bee	cage_2	Control_cage_2	10_3	cycle_one	Control_cycle_1	Control_cycle_2	Control_cycle_1
X10.C2.4	Control_C2.4	Control	Control	Control	single_bee	cage_2	Control_cage_2	10_3	cycle_one	Control_cycle_1	Control_cycle_2	Control_cycle_1
X10.C2.5	Control_C2.5	Control	Control	Control	single_bee	cage_2	Control_cage_2	10_3	cycle_one	Control_cycle_1	Control_cycle_2	Control_cycle_1
X10.C3.2	Control_C3.2	Control	Control	Control	single_bee	cage_3	Control_cage_3	10_3	cycle_one	Control_cycle_1	Control_cycle_2	Control_cycle_1
X10.C3.3	Control_C3.3	Control	Control	Control	single_bee	cage_3	Control_cage_3	10_3	cycle_one	Control_cycle_1	Control_cycle_2	Control_cycle_1
X10.C3.4	Control_C3.4	Control	Control	Control	single_bee	cage_3	Control_cage_3	10_3	cycle_one	Control_cycle_1	Control_cycle_2	Control_cycle_1
X16.3.C1	Control_C1	Control_transfer	Control	Control	microbiome_transfer	cage_1	Control_transfer_cage_1	16_3	cycle_two	Control_cycle_2	Control_transfer_to_cycle_3	Control_cycle_2
X16.3.C2	Control_C2	Control_transfer	Control	Control	microbiome_transfer	cage_2	Control_transfer_cage_2	16_3	cycle_two	Control_cycle_2	Control_transfer_to_cycle_3	Control_cycle_2
X16.3.C3	Control_C3	Control_transfer	Control	Control	microbiome_transfer	cage_3	Control_transfer_cage_3	16_3	cycle_two	Control_cycle_2	Control_transfer_to_cycle_3	Control_cycle_2
X16.3.T1	Tetra_C1	Tetracycline_transfer	Tetracycline	Tetracycline	microbiome_transfer	cage_1	Tetracycline_transfer_cage_1	16_3	cycle_two	Tetracycline_cycle_2	Tetracycline_transfer_to_cycle_3	Tetracycline_cycle_2
X16.3.T2	Tetra_C2	Tetracycline_transfer	Tetracycline	Tetracycline	microbiome_transfer	cage_2	Tetracycline_transfer_cage_2	16_3	cycle_two	Tetracycline_cycle_2	Tetracycline_transfer_to_cycle_3	Tetracycline_cycle_2
