ensembl_gene_id	go_id	description	name_1006	namespace_1003	beebase
LOC724736	GO:0030215	semaphorin-1A, transcript variant X3	semaphorin receptor binding	molecular_function	GB43476
LOC724736	GO:0005515	semaphorin-1A, transcript variant X3	protein binding	molecular_function	GB43476
LOC100576781	GO:0016491	15-hydroxyprostaglandin dehydrogenase [NAD(+)], transcript variant X4	oxidoreductase activity	molecular_function	GB46364
LOC552419	GO:0005525	ras-like GTP-binding protein RhoL, transcript variant X6	GTP binding	molecular_function	GB45431
LOC552419	GO:0003924	ras-like GTP-binding protein RhoL, transcript variant X6	GTPase activity	molecular_function	GB45431
LOC552419	GO:0007264	ras-like GTP-binding protein RhoL, transcript variant X6	small GTPase mediated signal transduction	biological_process	GB45431
LOC411477	GO:0005096	ADP-ribosylation factor GTPase-activating protein 1, transcript variant X2	GTPase activator activity	molecular_function	GB42748
LOC411477	GO:0046872	ADP-ribosylation factor GTPase-activating protein 1, transcript variant X2	metal ion binding	molecular_function	GB42748
LOC100578733	GO:0016747	nose resistant to fluoxetine protein 6, transcript variant X2	acyltransferase activity, transferring groups other than amino-acyl groups	molecular_function	GB44614
LOC100578774	GO:0005515	centrosomal protein of 164 kDa	protein binding	molecular_function	GB42895
LOC100576147	GO:0006355	fork head domain-containing protein FD4	regulation of transcription, DNA-templated	biological_process	GB50374
LOC100576147	GO:0043565	fork head domain-containing protein FD4	sequence-specific DNA binding	molecular_function	GB50374
LOC100576147	GO:0003700	fork head domain-containing protein FD4	DNA-binding transcription factor activity	molecular_function	GB50374
LOC552486	GO:0003779	F-actin-capping protein subunit alpha	actin binding	molecular_function	GB46766
LOC552486	GO:0008290	F-actin-capping protein subunit alpha	F-actin capping protein complex	cellular_component	GB46766
LOC552486	GO:0051016	F-actin-capping protein subunit alpha	barbed-end actin filament capping	biological_process	GB46766
LOC409165	GO:0051082	calreticulin	unfolded protein binding	molecular_function	GB40461
LOC409165	GO:0006457	calreticulin	protein folding	biological_process	GB40461
LOC409165	GO:0005509	calreticulin	calcium ion binding	molecular_function	GB40461
LOC409165	GO:0005788	calreticulin	endoplasmic reticulum lumen	cellular_component	GB40461
LOC409165	GO:0005783	calreticulin	endoplasmic reticulum	cellular_component	GB40461
LOC409165	GO:0005515	calreticulin	protein binding	molecular_function	GB40461
LOC100577342	GO:0003700	uncharacterized LOC100577342	DNA-binding transcription factor activity	molecular_function	GB53235
LOC100577342	GO:0046983	uncharacterized LOC100577342	protein dimerization activity	molecular_function	GB53235
LOC410603	GO:0005549	odorant receptor 65a, transcript variant X1	odorant binding	molecular_function	GB50053
LOC410603	GO:0004984	odorant receptor 65a, transcript variant X1	olfactory receptor activity	molecular_function	GB50053
LOC410603	GO:0016020	odorant receptor 65a, transcript variant X1	membrane	cellular_component	GB50053
LOC410603	GO:0007608	odorant receptor 65a, transcript variant X1	sensory perception of smell	biological_process	GB50053
LOC551128	GO:0005524	26S proteasome regulatory subunit 4	ATP binding	molecular_function	GB44431
LOC551128	GO:0005737	26S proteasome regulatory subunit 4	cytoplasm	cellular_component	GB44431
LOC551128	GO:0030163	26S proteasome regulatory subunit 4	protein catabolic process	biological_process	GB44431
LOC551128	GO:0036402	26S proteasome regulatory subunit 4	proteasome-activating activity	molecular_function	GB44431
LOC551128	GO:0016887	26S proteasome regulatory subunit 4	ATP hydrolysis activity	molecular_function	GB44431
LOC100578586	GO:0016021	mediator of RNA polymerase II transcription subunit 15	integral component of membrane	cellular_component	GB51441
LOC100578725	GO:0005737	uncharacterized LOC100578725	cytoplasm	cellular_component	GB46179
LOC100578725	GO:0043066	uncharacterized LOC100578725	negative regulation of apoptotic process	biological_process	GB46179
LOC100578725	GO:0071986	uncharacterized LOC100578725	Ragulator complex	cellular_component	GB46179
LOC100578725	GO:0043154	uncharacterized LOC100578725	negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	biological_process	GB46179
LOC100577797	GO:0016021	small integral membrane protein 8	integral component of membrane	cellular_component	GB54662
LOC551871	GO:0016021	P protein	integral component of membrane	cellular_component	GB45985
LOC551871	GO:0055085	P protein	transmembrane transport	biological_process	GB45985
LOC100576797	GO:0006629	acyl-CoA Delta(11) desaturase, transcript variant X2	lipid metabolic process	biological_process	GB42218
LOC100576797	GO:0016717	acyl-CoA Delta(11) desaturase, transcript variant X2	oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water	molecular_function	GB42218
LOC413755	GO:0005515	attractin, transcript variant X1	protein binding	molecular_function	GB52907
LOC100578888	GO:0005634	zinc finger protein 808	nucleus	cellular_component	GB53737
LOC100578888	GO:0008270	zinc finger protein 808	zinc ion binding	molecular_function	GB53737
LOC725251	GO:0005634	101 kDa malaria antigen, transcript variant X2	nucleus	cellular_component	GB51263
LOC725251	GO:0008270	101 kDa malaria antigen, transcript variant X2	zinc ion binding	molecular_function	GB51263
LOC411589	GO:0005524	structural maintenance of chromosomes protein 1A	ATP binding	molecular_function	GB44000
LOC411589	GO:0005634	structural maintenance of chromosomes protein 1A	nucleus	cellular_component	GB44000
LOC411589	GO:0003682	structural maintenance of chromosomes protein 1A	chromatin binding	molecular_function	GB44000
LOC411589	GO:0006281	structural maintenance of chromosomes protein 1A	DNA repair	biological_process	GB44000
LOC411589	GO:0007064	structural maintenance of chromosomes protein 1A	mitotic sister chromatid cohesion	biological_process	GB44000
LOC411589	GO:0008278	structural maintenance of chromosomes protein 1A	cohesin complex	cellular_component	GB44000
LOC411589	GO:0016887	structural maintenance of chromosomes protein 1A	ATP hydrolysis activity	molecular_function	GB44000
LOC411589	GO:0005694	structural maintenance of chromosomes protein 1A	chromosome	cellular_component	GB44000
LOC411589	GO:0051276	structural maintenance of chromosomes protein 1A	chromosome organization	biological_process	GB44000
LOC411589	GO:0007062	structural maintenance of chromosomes protein 1A	sister chromatid cohesion	biological_process	GB44000
LOC411589	GO:0005515	structural maintenance of chromosomes protein 1A	protein binding	molecular_function	GB44000
LOC100576272	GO:0000213	tRNA-splicing endonuclease subunit Sen34	tRNA-intron endonuclease activity	molecular_function	GB55918
LOC100576272	GO:0000214	tRNA-splicing endonuclease subunit Sen34	tRNA-intron endonuclease complex	cellular_component	GB55918
LOC100576272	GO:0000379	tRNA-splicing endonuclease subunit Sen34	tRNA-type intron splice site recognition and cleavage	biological_process	GB55918
LOC100576272	GO:0016829	tRNA-splicing endonuclease subunit Sen34	lyase activity	molecular_function	GB55918
LOC100576272	GO:0003676	tRNA-splicing endonuclease subunit Sen34	nucleic acid binding	molecular_function	GB55918
LOC100576272	GO:0006388	tRNA-splicing endonuclease subunit Sen34	tRNA splicing, via endonucleolytic cleavage and ligation	biological_process	GB55918
LOC100577995	GO:0003682	uncharacterized LOC100577995, transcript variant X7	chromatin binding	molecular_function	GB54625
LOC552063	GO:0008270	E3 ubiquitin-protein ligase MARCH5, transcript variant X2	zinc ion binding	molecular_function	GB45567
LOC410878	GO:0003824	epoxide hydrolase 4, transcript variant X1	catalytic activity	molecular_function	GB52496
LOC410878	GO:0016021	epoxide hydrolase 4, transcript variant X1	integral component of membrane	cellular_component	GB52496
LOC413573	GO:0046872	set1/Ash2 histone methyltransferase complex subunit ASH2, transcript variant X4	metal ion binding	molecular_function	GB47151
LOC413573	GO:0048188	set1/Ash2 histone methyltransferase complex subunit ASH2, transcript variant X4	Set1C/COMPASS complex	cellular_component	GB47151
LOC413573	GO:0051568	set1/Ash2 histone methyltransferase complex subunit ASH2, transcript variant X4	histone H3-K4 methylation	biological_process	GB47151
LOC413573	GO:0005515	set1/Ash2 histone methyltransferase complex subunit ASH2, transcript variant X4	protein binding	molecular_function	GB47151
