target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	884.523	6507	1125.45
NM_001011562.1	863	499.105	115.81	35.4983
NM_001011563.1	2084	1717.52	1136	101.188
NM_001011564.2	1326	959.523	463	73.8212
NM_001011565.1	3023	2656.52	51.8479	2.98588
NM_001011566.1	1503	1136.52	0	0
NM_001011567.1	4030	3663.52	0	0
NM_001011568.1	2077	1710.52	0	0
NM_001011570.1	582	260.955	654	383.414
NM_001011571.1	2093	1726.52	0	0
NM_001011572.1	2346	1979.52	6488	501.425
NM_001011573.1	3160	2793.52	9.23988	0.506022
NM_001011574.1	1940	1573.52	73	7.0975
NM_001011575.1	2163	1796.52	60	5.10945
NM_001011576.1	1195	828.523	0	0
NM_001011577.1	2389	2022.52	88.5851	6.70073
NM_001011578.1	5441	5074.52	1254	37.8057
NM_001011579.1	1430	1063.52	10	1.4385
NM_001011580.1	1544	1177.52	3	0.389769
NM_001011581.1	2439	2072.52	66.2286	4.88879
NM_001011582.1	356	139.242	0	0
NM_001011583.2	635	299.157	41867	21410.5
NM_001011584.1	1606	1239.52	0	0
NM_001011585.1	1638	1271.52	14.2625	1.71604
NM_001011586.1	2205	1838.52	0	0
NM_001011587.1	496	207.193	1203.67	888.767
NM_001011588.1	724	371.387	27	11.1222
NM_001011589.1	624	290.915	404	212.457
NM_001011590.1	574	255.524	4	2.39488
NM_001011591.1	584	262.327	4	2.33278
NM_001011592.1	1590	1223.52	2510.54	313.914
NM_001011593.1	548	238.487	0	0
NM_001011594.1	4195	3828.52	11.7087	0.467878
NM_001011595.1	2818	2451.52	22	1.37291
NM_001011596.1	4100	3733.52	179.137	7.34042
NM_001011597.1	2673	2306.52	12	0.795937
NM_001011598.1	1624	1257.52	2145	260.956
NM_001011599.1	1942	1575.52	9	0.873923
NM_001011600.1	2052	1685.52	89	8.07813
NM_001011601.1	1830	1463.52	6	0.627201
NM_001011602.1	2795	2428.52	108	6.80357
NM_001011603.1	1683	1316.52	1654.8	192.297
NM_001011604.3	685	338.582	5033.57	2274.41
NM_001011605.1	1448	1081.52	103	14.5699
NM_001011606.1	1757	1390.52	0	0
NM_001011607.2	381	149.89	92205	94110
NM_001011608.1	1873	1506.52	218	22.1379
NM_001011610.1	1612	1245.52	0	0
NM_001011611.2	369	144.712	1325	1400.77
NM_001011612.1	304	118.626	0	0
NM_001011613.1	710	359.42	27544	11724.1
NM_001011614.1	688	341.045	19653	8816.03
NM_001011615.1	664	321.643	69990	33290.3
NM_001011616.2	680	334.5	11256	5148.05
NM_001011617.1	374	146.854	2333	2430.44
NM_001011618.1	523	222.986	2017	1383.84
NM_001011619.1	1559	1192.52	160.498	20.59
NM_001011620.1	957	590.91	0	0
NM_001011621.1	3254	2887.52	4.44214	0.235354
NM_001011622.1	1529	1162.52	2	0.263199
NM_001011623.1	3376	3009.52	0	0
NM_001011624.1	4969	4602.52	8.02984	0.266911
NM_001011625.2	1940	1573.52	0	0
NM_001011626.2	755	398.583	1410.52	541.396
NM_001011627.1	2520	2153.52	553	39.2854
NM_001011628.2	1386	1019.52	162.03	24.3139
NM_001011629.1	14440	14073.5	3743.22	40.6909
NM_001011630.1	630	295.391	511.126	264.719
NM_001011631.1	1741	1374.52	9.11761	1.01481
NM_001011632.2	2009	1642.52	0	0
NM_001011633.1	1533	1166.52	8.13752	1.06722
NM_001011634.2	3754	3387.52	0	0
NM_001011635.1	1447	1080.52	52	7.36249
NM_001011636.1	570	252.842	1628	985.056
NM_001011637.1	1369	1002.52	7.3756	1.12553
NM_001011638.1	584	262.327	3	1.74958
NM_001011639.2	1806	1439.52	2	0.212553
NM_001011640.1	991	624.58	2430	595.215
NM_001011641.1	970	603.765	73.9823	18.7463
NM_001011643.1	2378	2011.52	3	0.228166
NM_001011644.2	1200	833.523	18	3.30377
NM_001011650.1	2242	1875.52	4	0.326282
NM_001011652.2	969	602.775	85	21.5734
NM_001011653.2	898	532.99	8.11497	2.32929
NM_001011654.2	749	393.249	170.904	66.4877
