target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	884.523	643	361.932
NM_001011562.1	863	499.105	33.1797	33.0983
NM_001011563.1	2084	1717.52	188	54.498
NM_001011564.2	1326	959.523	39	20.2365
NM_001011565.1	3023	2656.52	10.7805	2.02046
NM_001011566.1	1503	1136.52	0	0
NM_001011567.1	4030	3663.52	0	0
NM_001011568.1	2077	1710.52	0	0
NM_001011570.1	582	260.955	33	62.9613
NM_001011571.1	2093	1726.52	0	0
NM_001011572.1	2346	1979.52	12406	3120.3
NM_001011573.1	3160	2793.52	0	0
NM_001011574.1	1940	1573.52	4	1.26565
NM_001011575.1	2163	1796.52	12.8059	3.54897
NM_001011576.1	1195	828.523	3	1.80278
NM_001011577.1	2389	2022.52	8.614	2.12049
NM_001011578.1	5441	5074.52	211	20.702
NM_001011579.1	1430	1063.52	0	0
NM_001011580.1	1544	1177.52	0	0
NM_001011581.1	2439	2072.52	16.6138	3.99112
NM_001011582.1	356	139.242	0	0
NM_001011583.2	635	299.157	12590	20953.2
NM_001011584.1	1606	1239.52	2	0.803342
NM_001011585.1	1638	1271.52	0	0
NM_001011586.1	2205	1838.52	0	0
NM_001011587.1	496	207.193	33.1351	79.6231
NM_001011588.1	724	371.387	8	10.7248
NM_001011589.1	624	290.915	96	164.297
NM_001011590.1	574	255.524	0	0
NM_001011591.1	584	262.327	0	0
NM_001011592.1	1590	1223.52	360.451	146.676
NM_001011593.1	548	238.487	0	0
NM_001011594.1	4195	3828.52	5.20545	0.676943
NM_001011595.1	2818	2451.52	0	0
NM_001011596.1	4100	3733.52	0	0
NM_001011597.1	2673	2306.52	0	0
NM_001011598.1	1624	1257.52	1583	626.744
NM_001011599.1	1942	1575.52	1	0.31601
NM_001011600.1	2052	1685.52	8	2.36309
NM_001011601.1	1830	1463.52	0	0
NM_001011602.1	2795	2428.52	4	0.820055
NM_001011603.1	1683	1316.52	82.6329	31.25
NM_001011604.3	685	338.582	1286.97	1892.47
NM_001011605.1	1448	1081.52	4	1.84141
NM_001011606.1	1757	1390.52	0	0
NM_001011607.2	381	149.89	92609	307613
NM_001011608.1	1873	1506.52	20	6.60966
NM_001011610.1	1612	1245.52	0	0
NM_001011611.2	369	144.712	486	1672.08
NM_001011612.1	304	118.626	0	0
NM_001011613.1	710	359.42	19107	26467.7
NM_001011614.1	688	341.045	2903	4238
NM_001011615.1	664	321.643	13717	21233
NM_001011616.2	680	334.5	14320	21314.3
NM_001011617.1	374	146.854	2815	9543.72
NM_001011618.1	523	222.986	184	410.834
NM_001011619.1	1559	1192.52	10.2103	4.2628
NM_001011620.1	957	590.91	0	0
NM_001011621.1	3254	2887.52	1.01414	0.174862
NM_001011622.1	1529	1162.52	0	0
NM_001011623.1	3376	3009.52	0	0
NM_001011624.1	4969	4602.52	0	0
NM_001011625.2	1940	1573.52	3	0.949234
NM_001011626.2	755	398.583	144.34	180.298
NM_001011627.1	2520	2153.52	104	24.0441
NM_001011628.2	1386	1019.52	13.8082	6.74318
NM_001011629.1	14440	14073.5	202.522	7.16464
NM_001011630.1	630	295.391	166.511	280.654
NM_001011631.1	1741	1374.52	0	0
NM_001011632.2	2009	1642.52	0	0
NM_001011633.1	1533	1166.52	0	0
NM_001011634.2	3754	3387.52	3	0.440924
NM_001011635.1	1447	1080.52	5	2.30389
NM_001011636.1	570	252.842	621	1222.83
NM_001011637.1	1369	1002.52	8	3.97302
NM_001011638.1	584	262.327	0	0
NM_001011639.2	1806	1439.52	0	0
NM_001011640.1	991	624.58	287	228.781
NM_001011641.1	970	603.765	0	0
NM_001011643.1	2378	2011.52	0	0
NM_001011644.2	1200	833.523	0	0
NM_001011650.1	2242	1875.52	1	0.265462
NM_001011652.2	969	602.775	7	5.78186
NM_001011653.2	898	532.99	8.26891	7.72421
NM_001011654.2	749	393.249	38.6878	48.9815
NM_001012429.1	672	328.032	74.3078	112.783
NM_001012615.1	1097	730.523	0	0
NM_001012627.1	3153	2786.52	2	0.357349
NM_001012962.1	3606	3239.52	0	0
NM_001012963.1	502	210.619	0	0
NM_001013006.1	2991	2624.52	0	0
NM_001013359.2	1964	1597.52	0	0
NM_001013361.1	4113	3746.52	0	0
NM_001014429.1	1427	1060.52	2	0.938934
NM_001014430.1	438	176.415	0	0
NM_001014983.1	3250	2883.52	0	0
NM_001014991.1	7242	6875.52	0	0
NM_001014992.2	2498	2131.52	29.8812	6.97963
NM_001014993.1	1386	1019.52	27.2092	13.2875
NM_001014994.1	1892	1525.52	95.506	31.17
NM_001024697.1	1793	1426.52	53	18.4979
NM_001032361.1	3585	3218.52	0	0
NM_001037318.2	2515	2148.52	0	0
NM_001039968.1	1349	982.523	2	1.01347
NM_001040203.1	644	306.019	0	0
NM_001040204.1	793	433.065	10	11.4967
NM_001040205.1	698	349.329	48	68.4118
NM_001040206.1	682	336.129	679.714	1006.8
NM_001040207.1	1179	812.523	264	161.768
NM_001040208.1	582	260.955	58	110.659
NM_001040209.1	588	265.086	98.6969	185.371
NM_001040220.1	483	199.93	6	14.9416
NM_001040221.1	459	187.084	0	0
NM_001040223.1	555	242.982	12	24.5885
NM_001040224.1	399	157.909	0	0
NM_001040225.1	407	161.574	0	0
NM_001040226.1	432	173.461	0	0
NM_001040227.1	724	371.387	300.286	402.562
NM_001040229.1	453	183.983	0	0
NM_001040230.1	13107	12740.5	13	0.50802
NM_001040231.1	363	142.17	0	0
NM_001040233.1	1647	1280.52	381.228	148.226
NM_001040234.1	1500	1133.52	6.72836	2.95532
NM_001040235.2	6077	5710.52	0	0
NM_001040236.1	1767	1400.52	3987	1417.36
NM_001040237.1	5107	4740.52	35	3.67593
NM_001040255.1	1893	1526.52	3	0.97846
NM_001040256.1	767	409.346	207.822	252.771
NM_001040257.1	1554	1187.52	0	0
NM_001040258.1	1250	883.523	689.625	388.616
NM_001040259.1	1743	1376.52	5034	1820.77
NM_001040262.2	438	176.415	0	0
NM_001040263.1	1550	1183.52	17	7.1515
NM_001040264.1	1600	1233.52	10	4.03625
NM_001040265.1	1689	1322.52	17.8739	6.72886
NM_001040266.2	1599	1232.52	1.01114	0.408451
NM_001040267.1	1895	1528.52	5.60387	1.82533
NM_001040269.1	1397	1030.52	0	0
NM_001040270.1	509	214.676	184	426.737
NM_001040277.1	2150	1783.52	0	0
NM_001040681.1	2499	2132.52	3	0.70041
NM_001042458.1	1737	1370.52	0	0
NM_001042460.1	1794	1427.52	10.1732	3.54813
NM_001077808.1	5328	4961.52	6	0.60209
NM_001077809.1	1344	977.523	0	0
NM_001077810.1	354	138.413	4	14.3882
NM_001077811.1	1287	920.523	0	0
NM_001077812.1	1470	1103.52	0	0
NM_001077813.1	3226	2859.52	3.8166	0.664521
NM_001077814.1	387	152.529	0	0
NM_001077815.1	1855	1488.52	0	0
NM_001077816.1	1530	1163.52	0	0
NM_001077817.1	1194	827.523	0	0
NM_001077818.1	1707	1340.52	0	0
NM_001077819.1	378	148.584	0	0
NM_001077820.1	351	137.175	36	130.663
NM_001077821.1	4097	3730.52	0	0
NM_001077822.1	1533	1166.52	0	0
NM_001077823.2	516	218.798	0	0
NM_001077824.1	1842	1475.52	0	0
NM_001077825.1	1158	791.523	0	0
NM_001078661.1	315	122.838	0	0
NM_001079560.1	1607	1240.52	0	0
NM_001079561.1	1701	1334.52	1.19993	0.447666
NM_001080094.2	2123	1756.52	0	0
NM_001080095.1	1590	1223.52	0	0
NM_001080110.1	2703	2336.52	4.07635	0.868613
NM_001080205.1	2713	2346.52	18	3.8192
NM_001083630.1	1713	1346.52	0	0
NM_001085344.1	515	218.205	2355	5373.43
NM_001085345.1	1491	1124.52	14637	6480.51
NM_001085346.1	509	214.676	19262.6	44674.2
NM_001097154.2	1766	1399.52	342	121.667
NM_001098167.1	767	409.346	16.6604	20.2638
NM_001098214.1	1863	1496.52	0	0
NM_001098215.2	2635	2268.52	0	0
NM_001098217.1	2187	1820.52	0	0
NM_001098218.1	2148	1781.52	0	0
NM_001098219.1	2139	1772.52	0	0
NM_001098220.1	1806	1439.52	0	0
NM_001098221.1	1763	1396.52	0	0
NM_001098223.1	1436	1069.52	12	5.5862
NM_001098224.2	1333	966.523	29	14.9386
NM_001098228.1	1286	919.523	0	0
NM_001098229.1	1284	917.523	7	3.79845
NM_001098232.1	1146	779.523	0	0
NM_001098234.1	462	188.651	0	0
NM_001098717.1	2199	1832.52	0	0
NM_001101023.1	3033	2666.52	0	0
NM_001104949.1	3122	2755.52	0	0
NM_001110712.2	754	397.692	0	0
NM_001110764.1	2606	2239.52	24	5.33557
NM_001111255.1	2504	2137.52	0	0
NM_001112670.1	3330	2963.52	0	0
NM_001112671.1	3001	2634.52	12.9568	2.44862
NM_001112672.2	1701	1334.52	17.469	6.51729
NM_001113285.1	2779	2412.52	0	0
NM_001113739.1	1509	1142.52	6.54635	2.85272
NM_001114188.1	1950	1583.52	0	0
NM_001114198.1	730	376.578	1075.32	1421.7
NM_001115078.1	2659	2292.52	4.6775	1.01584
NM_001123013.2	6157	5790.52	0	0
NM_001126243.2	2949	2582.52	105.378	20.3157
NM_001126244.1	1674	1307.52	24	9.13876
NM_001131037.1	1164	797.523	1.51186	0.943828
NM_001131038.1	2722	2355.52	12	2.53641
NM_001134227.1	1704	1337.52	41.0787	15.2912
NM_001134333.1	282	110.398	0	0
NM_001134371.1	591	267.171	16	29.8164
NM_001134668.1	2541	2174.52	41	9.38739
NM_001134669.1	584	262.327	0	0
NM_001134722.1	105	46.6708	0	0
NM_001134828.1	1495	1128.52	25	11.0295
NM_001134934.1	3281	2914.52	0	0
NM_001134935.1	2337	1970.52	0	0
NM_001134936.1	1992	1625.52	0	0
NM_001134940.1	1464	1097.52	0	0
NM_001134942.1	1621	1254.52	8	3.17495
NM_001134943.1	1434	1067.52	0	0
NM_001134947.1	1760	1393.52	28	10.0039
NM_001134948.1	3181	2814.52	10.829	1.91562
NM_001134949.1	3346	2979.52	137.368	22.9543
NM_001134950.1	2295	1928.52	1.04009	0.268516
NM_001135735.1	1032	665.523	664	496.741
NM_001135905.1	488	202.698	260	638.63
NM_001135909.1	320	124.777	4	15.9607
NM_001136187.1	614	283.563	117	205.429
NM_001136206.1	1002	635.523	0	0
NM_001136207.1	930	564.306	0	0
NM_001136208.1	1008	641.523	0	0
NM_001136209.1	1029	662.523	0	0
NM_001141964.1	2248	1881.52	255.895	67.7138
NM_001142436.1	1295	928.523	46	24.6655
NM_001142461.1	824	461.968	4	4.31095
NM_001142561.1	1943	1576.52	0	0
NM_001142607.1	642	304.485	14	22.8922
NM_001142609.1	1671	1304.52	0	0
NM_001142637.1	999	632.523	0	0
NM_001142656.2	710	359.42	0	0
NM_001142693.1	1386	1019.52	0	0
NM_001143878.1	1377	1010.52	0	0
NM_001143879.1	1428	1061.52	0	0
NM_001143880.1	1470	1103.52	0	0
NM_001143921.1	2102	1735.52	28.3615	8.13624
NM_001144839.2	596	270.673	34.0373	62.6089
NM_001145735.2	1347	980.523	1	0.50777
NM_001145736.1	2424	2057.52	0	0
NM_001145737.1	2433	2066.52	0	0
NM_001145738.1	2787	2420.52	0	0
NM_001145739.1	2553	2186.52	0	0
NM_001145740.1	3633	3266.52	12	1.82903
NM_001159303.1	1404	1037.52	0	0
NM_001159355.1	2782	2415.52	1.24825	0.257285
NM_001160048.1	2747	2380.52	194	40.5746
NM_001160050.1	2417	2050.52	2796	678.887
NM_001160052.1	2920	2553.52	430	83.8405
NM_001160064.1	2844	2477.52	318	63.905
NM_001160072.1	2237	1870.52	180	47.9109
NM_001160270.1	698	349.329	199.588	284.462
NM_001160405.2	2980	2613.52	7.85479	1.49635
NM_001161709.2	856	492.385	44	44.491
NM_001161787.1	927	561.359	673.943	597.733
NM_001161788.1	843	479.966	62.0574	64.3737
NM_001161831.1	683	336.946	326	481.707
NM_001162398.1	165	68.7806	0	0
NM_001162513.1	4073	3706.52	4.80618	0.645593
NM_001162516.1	1758	1391.52	0	0
NM_001163463.1	481	198.832	39	97.6568
NM_001163712.1	1155	788.523	4.63926e-08	2.92927e-08
NM_001163714.1	1566	1199.52	177.952	73.8619
NM_001163715.1	854	490.469	55	55.831
NM_001163716.1	900	534.939	1214.27	1130.15
NM_001163717.1	2152	1785.52	11.3981	3.17828
NM_001164008.1	2209	1842.52	9	2.43195
NM_001164809.1	503	211.194	13	30.6469
NM_001164810.1	871	506.809	74	72.6962
NM_001165904.1	5715	5348.52	0	0
NM_001165905.1	6135	5768.52	0	0
NM_001165906.1	3754	3387.52	38.5839	5.67087
NM_001167709.1	732	378.317	3	3.94812
NM_001167720.1	599	272.79	1.19741	2.18545
NM_001167836.1	1455	1088.52	0	0
NM_001167893.1	1135	768.523	189	122.442
NM_001168336.1	1053	686.523	16	11.6035
NM_001168425.1	1144	777.523	10	6.40342
NM_001168700.1	993	626.565	0.291397	0.231549
NM_001170972.1	1128	761.523	58	37.9202
NM_001170973.1	1131	764.523	865	563.314
NM_001170974.1	1454	1087.52	104.816	47.9858
NM_001171006.1	3549	3182.52	0	0
NM_001171051.1	4101	3734.52	0	0
NM_001171108.1	1209	842.523	0	0
NM_001171169.1	1520	1153.52	144.518	62.3763
NM_001172378.1	1201	834.523	57	34.0065
NM_001172379.1	1114	747.523	151	100.572
NM_001172389.1	1026	659.523	17.6372	13.3145
NM_001172403.1	1330	963.523	180.927	93.4901
NM_001172404.1	2427	2060.52	78.8508	19.0526
NM_001172405.1	228	90.9902	0	0
NM_001172406.1	908	542.746	8.0734	7.40601
NM_001172718.1	2641	2274.52	23.2592	5.09132
NM_001174139.1	720	367.947	0	0
NM_001174140.1	599	272.79	0	0
NM_001174141.1	1037	670.523	6.08871	4.52103
NM_001174142.1	773	414.772	0	0
NM_001174143.1	884	519.383	1811.95	1736.94
NM_001174144.1	534	229.701	16	34.6803
NM_001174145.1	871	506.809	3	2.94715
NM_001177490.1	1091	724.523	352	241.889
NM_001177903.1	404	160.192	0.164696	0.511878
NM_001178021.1	842	479.014	693.743	721.068
NM_001178022.1	816	454.451	0	0
NM_001178023.1	1095	728.523	3.82674e-07	2.61523e-07
NM_001178024.1	1194	827.523	91	54.7503
NM_001178025.1	2265	1898.52	0	0
NM_001178026.1	2037	1670.52	276.156	82.3053
NM_001178027.1	830	467.63	718	764.446
NM_001178028.1	1029	662.523	0	0
NM_001178047.1	1538	1171.52	20	8.49971
NM_001178048.1	1331	964.523	84	43.3603
NM_001178067.1	626	292.402	32	54.4873
NM_001178069.1	1627	1260.52	0.147773	0.0583671
NM_001185079.1	3029	2662.52	11	2.05695
NM_001185086.1	3029	2662.52	11	2.05695
NM_001185105.1	3075	2708.52	7.05674	1.29717
NM_001185144.1	565	249.52	1513	3018.96
NM_001185145.1	1666	1299.52	144.485	55.356
NM_001185146.1	1648	1281.52	142.515	55.368
NM_001190421.1	2277	1910.52	3.18196	0.829217
NM_001190814.1	460	187.605	223	591.813
NM_001190920.1	1626	1259.52	0	0
NM_001190921.1	1401	1034.52	0	0
NM_001191048.2	6581	6214.52	0	0
NM_001193290.1	1551	1184.52	0	0
NM_001202460.1	1962	1595.52	0	0
